sentence,label
the most offensive thing about the movie is that hollywood expects people to pay to see it  ,0
have to worry about being subjected to farts  urine  feces  semen  or any of the other foul substances that have overrun modernday comedies ,0
the film was produced by jerry bruckheimer and directed by joel schumacher  and reflects the worst of their shallow styles : wildly overproduced  inadequately motivated every step of the way and demographically targeted to please every one  and no one   ,0
captures the unsettled tenor of that post 911 period far better than a more measured or polished production ever could ,1
does a fine job contrasting the sleekness of the film s present with the playful paranoia of the film s past  ,1
a reminder that beyond all the hype and recent digital glitz  spielberg knows how to tell us about people  ,1
you feel good  you feel sad  you feel pissed off  but in the end  you feel alive  which is what they did  ,1
s a cleareyed portrait of an intensely lived time  filled with nervous energy  moral ambiguity and great uncertainties  ,1
losing its focus  point and purpose in a mess of mixed messages  overblown drama and bruce willis ,0
 spirit s visual imagination reminds you of why animation is such a perfect medium for children  because of the way it allows the mind to enter and accept another world  ,1
gets close to the chimps the same way goodall did  with a serious minded patience  respect and affection ,1
aniston has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil  ,1
perhaps a better celebration of these unfairly dismissed heroes would be a film that is nt this painfully forced  false and fabricated  ,0
even when there are lulls  the emotions seem authentic  and the picture is so lovely toward the end  ,1
reggio and glass so rhapsodize cynicism  with repetition and languorous slomo sequences  that glass s dirgelike score becomes a fangbaring lullaby  ,0
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth  ,1
it can only encourage us to see samira makhmalbaf as a very distinctive sensibility  working to develop her own film language with conspicuous success ,1
the first hour is tedious though ford and neeson capably hold our interest  but its just not a thrilling movie  ,0
although the more lasciviousminded might be disappointed in the relative modesty of a movie that sports a  topless tutorial service ,0
 and literally  tosses around sex toys and offers halfhearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes  most at women s expense  ,0
overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael s evolution  ,1
is better than any summer blockbuster we had to endure last summer  and hopefully  sets the tone for a summer of good stuff ,1
s dull  spiritless  silly and monotonous : an ultraloud blast of pointless mayhem  going nowhere fast  ,0
it s difficult to imagine that a more confused  less interesting and more sloppily made film could possibly come down the road in 2002  ,0
maintains a dark mood that makes the film seem like something to endure instead of enjoy  ,0
was impressed by how many titfortat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an americanrussian armageddon ,1
if  jaglom s  latest effort is not the director at his most sparkling  some of its repartee is still worth hearing  ,1
with an admirably dark first script by brent hanley  paxton  making his directorial feature debut  does strong  measured work  ,1
uneven performances and a spotty script add up to a biting satire that has no teeth  ,0
schnitzler does a fine job contrasting the sleekness of the film s present with the playful paranoia of the film s past   ,1
to resemble the kind of softcore twaddle you d expect to see on showtime s  red shoe diaries ,0
heard a mysterious voice  and felt myself powerfully drawn toward the light  the light of the exit sign ,0
marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america  sketchy but nevertheless gripping portrait of jim brown  a celebrated wonder in the spotlight ,1
bean drops the ball too many times  hoping the nifty premise will create enough interest to make up for an unfocused screenplay ,0
blade ii merges bits and pieces from fighting games  wire fu  horror movies  mystery  james bond  wrestling  scifi and anime into one big bloody stew  ,1
labute does manage to make a few points about modern man and his problematic quest for human connection  ,1
are relegated to the background  a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty ,1
do with the casting of juliette binoche as sand  who brings to the role her pale  dark beauty and characteristic warmth ,1
holofcener rejects patent solutions to dramatize life s messiness from inside out  in all its strange quirks  ,1
has no reason to exist  other than to employ hollywood kids and people who owe favors to their famous parents  ,0
are so few films about the plight of american indians in modern america that skins comes as a welcome  if downbeat  missive from a forgotten front  ,1
most viewers will wish there had been more of the  queen  and less of the  damned   ,0
can never escape the heart of the boy when the right movie comes along  especially if it begins with the name of star wars ,1
is a shrewd and effective film from a director who understands how to create and sustain a mood ,1
 less a movie than  an appalling  odoriferous thing  so rotten in almost every single facet of production that you ll want to crawl up your own *** in embarrassment  ,0
you only need to watch for about thirty seconds before you say to yourself   ah  yes ,1
twice about what might be going on inside each trailer park you drive past  even if it chiefly inspires you to drive a little faster ,1
a complete shambles of a movie so sloppy  so uneven  so damn unpleasant that i ca nt believe any viewer  young or old  would have a good time here  ,0
the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs  ,1
the most opaque  selfindulgent and just plain goofy an excuse for a movie as you can imagine ,0
hardly an objective documentary  but it s great cinematic polemic  love moore or loathe him  you ve got to admire  the intensity with which he s willing to express his convictions  ,1
s hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon  dustin hoffman and holly hunter  yet newcomer ellen pompeo pulls off the feat with aplomb  ,1
scooby doo is surely everything its fans are hoping it will be  and in that sense is a movie that deserves recommendation  ,1
things that elevate  glory  above most of its ilk  most notably the mere presence of duvall ,1
thanks largely to williams  all the interesting developments are processed in 60 minutes  the rest is just an overexposed waste of film  ,0
we get a stab at soccer hooliganism  a doublebarreled ripoff of quentin tarantino s climactic shootout  and meat loaf explodes  ,0
the emotion or timelessness of disney s great past  or even that of more recent successes such as  mulan  or  tarzan ,1
susan sarandon  dustin hoffman and holly hunter  yet newcomer ellen pompeo pulls off the feat with aplomb ,1
the story of trouble every day  is so sketchy it amounts to little more than preliminary notes for a sciencefiction horror film  and the movie s fragmentary narrative style makes piecing the story together frustrating difficult  ,0
phillip noyce and all of his actors  as well as his cinematographer  christopher doyle  understand the delicate forcefulness of greene s prose  ,1
comes off as a twoway timeswitching myopic mystery that stalls in its lackluster gear of emotional blandness  ,0
works smoothly under the direction of spielberg  who does a convincing impersonation here of a director enjoying himself immensely ,1
 it ll probably be in video stores by christmas  and it might just be better suited to a night in the living room than a night at the movies  ,0
wimps out by going for that pg13 rating  so the more graphic violence is mostly offscreen and the sexuality is muted  ,0
the catch is that they re stuck with a script that prevents them from firing on all cylinders  ,0
lacks the visual panache  the comic touch  and perhaps the budget of sommers s titlebout features ,0
s to realize that as far as these shootings are concerned  something is rotten in the state of california ,0
hoffman keeps us riveted with every painful nuance  unexpected flashes of dark comedy and the character s gripping humanity  ,1
those 24andunders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking  ,0
off the hook is overlong and not wellacted  but credit writerproducerdirector adam watstein with finishing it at all  ,0
kwan is a master of shadow  quietude  and room noise  and lan yu is a disarmingly livedin movie ,1
is not really a film as much as it is a loose collection of notsofunny gags  scattered moments of lazy humor ,0
may be relieved that his latest feature  r xmas  marks a modest if encouraging return to form ,1
a miraculous movie  i m going home is so slight  yet overflows with wisdom and emotion  ,1
into the life of wladyslaw szpilman  who is not only a pianist  but a good human being ,1
the story really has no place to go since simone is not real  she ca nt provide any conflict ,0
this would have been better than the fiction it has concocted  and there still could have been room for the war scenes  ,0
are simply dazzling  particularly balk  who s finally been given a part worthy of her considerable talents ,1
the film is  arguably  the most accomplished work to date from hong kong s versatile stanley kwan  ,1
threw loads of money at an idea that should ve been so much more even if it was only made for teenage boys and wrestling fans  ,0
a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters ,1
could this be the first major studio production shot on video tape instead of film ? ,0
 letting its imagery speak for it while it forces you to ponder anew what a movie can be  ,1
morrissette has performed a difficult task indeed  he s taken one of the world s most fascinating stories and made it dull  lifeless  and irritating ,0
allowing us to remember that life s ultimately a gamble and last orders are to be embraced ,1
ca nt begin to tell you how tedious  how resolutely unamusing  how thoroughly unrewarding all of this is  and what a reckless squandering of four fine acting talents ,0
that it goes by quickly  because it has some of the funniest jokes of any movie this year  including those intended for adults ,1
an intelligent and deeply felt work about impossible  irrevocable choices and the price of making them  ,1
will have completely forgotten the movie by the time you get back to your car in the parking lot  ,0
s the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer s most pleasurable movies ,1
a fiercely clever and subtle film  capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries  ,1
the film would have been more enjoyable had the balance shifted in favor of waterbound action over the landbased  drama   but the emphasis on the latter leaves blue crush waterlogged ,0
through  however  having sucked dry the undead action flick formula  blade ii mutates into a grossout monster movie with effects that are more silly than scary  ,0
phillip noyce and all of his actors  as well as his cinematographer  christopher doyle  understand the delicate forcefulness of greene s prose ,1
content with a clever pseudobio that manages to have a good time as it doles out pieces of the famous director s life ,1
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement ,1
take a rocket scientist to figure out that this is a mormon family movie  and a sappy  preachy one at that ,0
if you re looking to rekindle the magic of the first film  you ll need a stronger stomach than us  ,0
hart s war seems to want to be a character study  but apparently ca nt quite decide which character  ,0
thanks in part to interesting cinematic devices  cool visual backmasking   a solid cast  and some wickedly sick and twisted humor ,1
you are curious to see the darker side of what s going on with young tv actors  dawson leery did what ??   or see some interesting storytelling devices ,1
stare and sniffle  respectively  as ledger attempts  in vain  to prove that moviestar intensity can overcome bad hair design ,0
to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing  let alone funny ,0
has usually been leavened by a charm that s conspicuously missing from the girls  bigscreen blowout  ,0
family film to take everyone to since there s no new  a christmas carol  out in the theaters this year ,1
 it s a real shame that so much of the movie  again  as in the animal  is a slapdash mess  ,0
huppert s show to steal and she makes a meal of it  channeling kathy baker s creepy turn as the repressed mother on boston public just as much as 8 women s augustine  ,1
itself virtually collapses into an inhalant blackout  maintaining consciousness just long enough to achieve callow pretension ,0
a staggeringly compelling character  a young man whose sharp intellect is at the very root of his contradictory  selfhating  selfdestructive ways ,1
whereas oliver stone s conspiracy thriller jfk was long  intricate  starstudded and visually flashy  interview with the assassin draws its considerable power from simplicity  ,1
come close to justifying the hype that surrounded its debut at the sundance film festival two years ago ,1
theological matters aside  the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues  ,0
to have been picked not for their acting chops  but for their looks and appeal to the preteen crowd ,0
it s unlikely to inspire anything more than a visit to mcdonald s  let alone some savvy street activism ,0
edited  often awkwardly directed and suffers from the addition of a wholly unnecessary precredit sequence designed to give some of the characters a  back story ,0
this material could work  especially since the actresses in the lead roles are all more than competent ,1
is also elevated by it  the kind of movie that you enjoy more because you re one of the lucky few who sought it out  ,1
 has done his homework and soaked up some jazzy new revisionist theories about the origins of nazi politics and aesthetics  ,1
well edited so that it certainly does nt feel like a film that strays past the two and a half mark ,1
is an elegantly balanced movie  every member of the ensemble has something fascinating to do  that does nt reveal even a hint of artifice  ,1
uproarious humor with an underlying seriousness that sneaks up on the viewer  providing an experience that is richer than anticipated  ,1
 an astounding performance that deftly  gradually reveals a real human soul buried beneath a spellbinding serpent s smirk  ,1
pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of god in the fifth trek flick  ,0
a mediocre exercise in target demographics  unaware that it s the butt of its own joke  ,0
that rare documentary that incorporates so much of human experience  drama  conflict  tears and surprise  that it transcends the normal divisions between fiction and nonfiction film ,1
imagine the cleanflicks version of  love story   with ali macgraw s profanities replaced by romancenovel platitudes  ,0
the intimate  unguarded moments of folks who live in unusual homes  which pop up in nearly every corner of the country ,1
s also curious to note that this film  like the similarly illtimed antitrust  is easily as bad at a fraction the budget  ,0
the whole affair  true story or not  feels incredibly hokey   it  comes off like a hallmark commercial  ,0
an invaluable historical document thanks to the filmmaker s extraordinary access to massoud  whose charm  cultivation and devotion to his people are readily apparent  ,1
of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car ,0
is that  even in all its director s cut glory  he s made a film that s barely shocking  barely interesting and most of all  barely anything ,0
the movie runs a good race  one that will have you at the edge of your seat for long stretches   ,1
so muddled  repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker s characteristic style  ,0
that s destined to win a wide summer audience through wordofmouth reviews and  not far down the line  to find a place among the studio s animated classics ,1
is one adapted  fromtelevision movie that actually looks as if it belongs on the big screen ,1
s difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing  let alone funny  ,0
indeed  the first half of sorority boys is as appalling as any  comedy  to ever spill from a projector s lens ,0
spectacular in every sense of the word  even if you don  t know an orc from a urukhai  ,1
stripped almost entirely of such tools as nudity  profanity and violence  labute does manage to make a few points about modern man and his problematic quest for human connection  ,0
 hoffman keeps us riveted with every painful nuance  unexpected flashes of dark comedy and the character s gripping humanity  ,1
nettelbeck has crafted an engaging fantasy of flavors and emotions  one part romance novel  one part recipe book  ,1
the first 2/3 of the film are incredibly captivating and insanely funny  thanks in part to interesting cinematic devices  cool visual backmasking   a solid cast  and some wickedly sick and twisted humor  ,1
with results that are sometimes bracing  sometimes baffling and quite often  and in unexpected ways  touching ,1
a young woman who wants many things in life  but fears she ll become her mother before she gets to fulfill her dreams ,1
this starts off with a 1950 s doris day feel and it gets very ugly  very fast ,0
a pleasant and engaging enough sit  but in trying to have the best of both worlds it ends up falling short as a whole  ,0
pass for a thirteenyearold s book report on the totalitarian themes of 1984 and farenheit 451 ,0
if you re over 25  have an iq over 90  and have a driver s license  you should be able to find better entertainment  ,0
 marshall keeps the energy humming  and his edits  unlike those in moulin rouge  are crisp and purposeful without overdoing it  ,1
comes in the power of the huston performance  which seems so larger than life and yet so fragile ,1
here is a vh1 behind the music special that has something a little more special behind it : music that did nt sell many records but helped change a nation  ,1
treats ana s journey with honesty that is tragically rare in the depiction of young women in film  ,1
is a tribute to shyamalan s gifts  which are such that we ll keep watching the skies for his next project  ,1
devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu  and the grandeur of the best next generation episodes is lacking ,0
the most compelling performance of the year adds substantial depth to this shocking testament to antisemitism and neofascism  ,1
s rare to see a movie that takes such a speedy swan dive from  promising  to  interesting  to  familiar  before landing squarely on  stupid   ,0
know why steven seagal is considered a star  nor why he keeps being cast in action films when none of them are ever any good or ,0
has to recite bland police procedural details  fiennes wanders around in an attempt to seem weird and distanced ,0
want to bang your head on the seat in front of you  at its cluelessness  at its idiocy  at its utterly misplaced earnestness ,0
liotta is put in an impossible spot because his character s deceptions ultimately undo him and the believability of the entire scenario  ,0
is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition ,0
accepting this in the right frame of mind can only provide it with so much leniency  ,1
scratching your head in amazement over the fact that so many talented people could participate in such an ,0
hindered by a central plot that s peppered with false starts and populated by characters who are nearly impossible to care about ,0
is that it is one that allows him to churn out one mediocre movie after another ,0
this is a movie that refreshes the mind and spirit along with the body  so original is its content  look  and style  ,1
by the end of it all i sort of loved the people onscreen  even though i could not stand them  ,1
 simone  is a fun and funky look into an artificial creation in a world that thrives on artificiality  ,1
this is a visually stunning rumination on love  memory  history and the war between art and commerce  ,1
guilty of the worst sin of attributable to a movie like this : it s not scary in the slightest  ,0
goldbacher draws on an elegant visual sense and a talent for easy  seductive pacing  but she and writing partner laurence coriat do nt manage an equally assured narrative coinage ,1
lawrence unleashes his trademark misogyny  er  comedy  like a human volcano or an overflowing septic tank ,0
hawke s film  a boring  pretentious waste of nearly two hours  does nt tell you anything except that the chelsea hotel today is populated by whiny  pathetic  starving and untalented artistes  ,0
 in praise of love lacks even the most fragmented charms i have found in almost all of his previous works  ,0
looks as if it were made by a highly gifted 12yearold instead of a grown man ,0
before it builds up to its insanely staged ballroom scene  in which 3000 actors appear in full regalia ,1
death to smoochy is often very funny  but what s even more remarkable is the integrity of devito s misanthropic vision ,1
max pokes  provokes  takes expressionistic license and hits a nerve  as far as art is concerned  it s mission accomplished ,1
watching this film  one is left with the inescapable conclusion that hitchens  obsession with kissinger is  at bottom  a sophisticated flower child s desire to purge the world of the tooth and claw of human power  ,1
