sentence,label
joy stick for eazy navigation mb memory card to store the pictures and stuff,positive
i find the major problem with this item is that if you have a very messy diaper and can t tightly bundle it without a mess the mess gets all over the module that dumps the diaper and the stink is outside of the diaper pail,negative
but it is smooth it is powerful it is affordable it has a proven track record,positive
the next problem was that it didn t recognize all the installed components so it would not update them most notably and importantly virus definitions,negative
the macro works great for medical photographs and the auto mode is terrific for point and shoot,positive
the gprs web access is slow ,negative
works great ,positive
i have noted that as you use the tool sawdust builds in the channel and it requires attention,negative
there is also a small covering for the lens so you need not worry that the lens will get scratched,positive
if you want to rename a cd title that you have already transferred you will become frustrated quite quickly,negative
let the champ win you over ,positive
the only complaint i have is that the collet will not sufficiently hold any of my bits,negative
the player works well with my sony srs a powered speakers,positive
it has never worked,negative
if you want to work wirelessly this router does just what you want it to do and my geek friends say that the security is as good as it gets right now,positive
mediasource did not recognize my tags ,negative
newbies will find the full auto setting will give them perfect pictures right out of the box,positive
you have to wonder why creative can t get this right,negative
placement of the buttons and software user interface is near perfect,positive
so i ve had it for a month and the headphone jack went out,negative
just bought one i ve enjoyed it to date,positive
the colors are a joke and i personally hate the stupid vertical touchpad,negative
other than this i am very pleased with the router and would buy it again,positive
the only reason for not giving it stars the claimed battery life of hours is very optimistic possible maybe if you really sit down and listen continuously for hours without ever touching the player but in real life i can probably get hours at most,negative
the design as mentioned above is sleek cool and trendy and i think trendy good but it s always hard to tell these days ,positive
i thought this camera was awful and i did tons of research on cnet and other sites,negative
the software was great as long as you have an administrative user account windows xp ,positive
after research of other creative hard drive players i found that most of them aren t very durable and tend to crash read most reviews on amazon com and see for yourself ,negative
i ve now had the camera for two months and i m even more pleased with it,positive
i ve had nokia s for years and while this one is packed with whiz bang features it is disappointing for its primary use a phone,negative
it s oval and nice,positive
the disadvantages of this camera is it has been having some trouble with its autofocus on a few occasional pictures especially quick candid shots where you start up and shot as quick as you can,negative
the cd ripping to mp is so easy and you can even rip the cd directly to the mp player so it wo n t take up space on your pc hard drive,positive
radio quality weak reception,negative
navigation is so smooth and finding files is a cinch,positive
my only complaint really more of an observation is that the outside finish of the ipod is rather delicate so i am going to get a case for mine so it doesn t get all scratched up,negative
the g ipod costs the same as this g zen micro,positive
again the headphone jack on this thing is garbage,negative
we tried it out christmas night and it worked great,positive
i tried the cd setup program without any luck,negative
love the speaker phone,positive
it is slow if you keep the original configuration and prigs why d u buy it then it ll run smoothly but still slower than most other coloured screen nokias,negative
the player is smaller than you think,positive
the eax sound enhancement feature did n t do enough for me and the custom eq was a limited band eq,negative
i am now staring at an array of stuff including zen micro player stereo earbud headphones a rechargeable lithium ion battery an ac dc power adapter a usb cable a belt clip a stand a stylish cloth pouch an installation cd a quick start guide and creative mediasource software,positive
basically the is a bundle of over hyped features you don t and won t need if you do get yourself a pda or pocket pc none of them work as they should and the basic phone functions and ergonomics are less than average,negative
you of course have some good customization options with the unit as well sound presets navigating options playlists etc ,positive
i tried to use the fm radio option but it doesn t seem to really pick up the stations i listen however i am going to try it in a different location it may have just been my residential location,negative
the color screen is a plus as are the polyphonic ringtones,positive
they are a royal pain to install and don t function properly once finally installed if you can install them at all,negative
very intuitive menus are a big plus on this camera,positive
the software which comes with player is not good at all,negative
the shape of this device is a little squarer without losing the weight which means better balance and less shaking while clicking,positive
yes there is a corner lens barrel distortion i do n t like it too but no harm done since i always use the cam ea lcd screen to see exactly what i m going to get in the viewfinder when you do n t zoom when you zoom the lens distortion goes away canon knows this and engineered it that way to minimize the parallax phenomenon that is what lamest exactly ot the picture,negative
i like the speak phone function a lot,positive
well just one con its not really plug and play at first i mean its very confusing to start the program but one you do it it will be a breeze,negative
all i have to say is that the pics i get with my sd are both rich and color and high in detail the user interface is awesome the battery charger is tiny and super light and sd cards are relatively cheap and getting cheaper all the time,positive
who wants to go through the hassles of loading software onto a foreign computer just to move over some simple txt files ,negative
i m easily enlarging pictures to x with no vi sable loss in picture quality and not even using the best possible setting as yet super fine ,positive
i had a lot of problems setting it up since the software given along with it is buggy,negative
but i ve already emailed creative tech support about it and gotten timely responses they will fix it for me if necessary,positive
after two weeks the picture kept freezing,negative
but dollar for dollar this dvd player is probably the best out there,positive
the only problem i had was a few components didn t quite load correctly upon startup but a reboot fixed the problem,negative
otherwise this player is awesome ,positive
the remote works but then it does not work and you are left standing there thinking you are doing something wrong,negative
the software has been installed on windows and xp and i haven t had any problems with it,positive
in other words the zen is not a convenient data storage device only buy the capacity you need for your music collection see point for some sizing information ,negative
about the product the zen micro is a sleek stylish device that caters not just to hip youngsters but to people of all walks of life who like to listen on the go without having to worry frequently about battery life size or the awkward factor,positive
but the earbuds suck ,negative
this dvd player plays raw mpeg and mpeg videos jpeg wma cmdr cadre dvd dvd and of course plays dvd movies from uk i love the giff progressive scan feature,positive
in my opinion the worst issue on this phone is the side mounted volume control,negative
the machine is very light and slim and fits nicely into my tv stand,positive
the day finally arrived when i was sure i d leave sprint,negative
it took me about an hour to set up a wireless environment in her townhouse and she hasn t called me yet with any problems,positive
who in the hell needs a frigging vga camera on their cellphone ,negative
it s so small and light even with a spare battery you really can take it anywhere,positive
a lot of fragments were left in the registry and it the norton system folders,negative
both are very easy to learn use and intuitive enough for even a novice,positive
my one issue with the mediasource software is that despite pulling id tag data from the dds service the ripping process fails to populate the year field,negative
i actually took a friends word on it and went with this champ when registering and i am glad i did,positive
however the calls constantly drop in my area and i experience mega static to the point where i d have to dial numbers times to get a clear line,negative
ball metaphor i was hoping creative hit a home run here and i think the zen micro is more like a stand up double,positive
the interface software itself which should be user friendly was anything but easy to use,negative
i also like the lock feature so it makes the touch pad inactive,positive
i immediately had problems getting the player to recognize two of my favorite dvds,negative
i do like this phone overall would give it a but unfortunately i am returning it,positive
linksys is more costlier than others and is a home consumer division of disco,negative
all the features are incredibly intuitive even for a novice like me,positive
gets stinky after a few months the seal on the piston doesn t seal anymore,negative
looks snazzy smaller than a pack of smokes easily transported ac charger included as well as a hard shell that comes with a clip and a stand adapter usb cable ,positive
first thing i noticed was that the creative wasn t well made,negative
the ss body is wonderful feels high quality,positive
the battery as others have said also seems weaker than creative suggests,negative
this is a really great buy for yourself or as a shower gift,positive
even after reading some of the instructions it s still hard to figure out,negative
the i pod is the best thing i have ever used,positive
cheap construction they should have made the player out of hard plastic and put some rubber on the corners,negative
for some this might be a problem but for the price of a gig ipod you can get a gb nomad the ipod simply pales in comparison,positive
i tried to make sense of the file transfer program and just got more confused,negative
megapixels is plenty for all but pros and you will not be disappointed with the results of this camera,positive
don t buy the diaper champ,negative
speakers at home i rarely use it with the earbuds though they are much better than the ones you normally get with other mp players,positive
the auto color balance is often fooled by dense clouds,negative
i have had several mp players over the past few years and have to say that this by far is the best that i ve owned,positive
the reason i rated it a four is because of that darn diopter adjustment dial its very small and hard to turn so you can t get an accurate adjustment for those of you who do n t know what a diopter adjustment is it is to adjust the focus of the viewfinder to your eyesight ,negative
the standard battery include with the g is a camcorder battery that will allow me to take pictures all day without worrying about charging,positive
basically i ate the cost of the renewal and ate the cost of the tech help,negative
the phone offers a mb mmc card and i think that is certainly the most exciting feature,positive
the phone does not have an mp player fm radio k color screen megapixel camera quad band pda photo editor,negative
the unit works great with my cassette adapter for my car is also easily worked without taking your eyes off the road ,positive
the headphones are n t the best but you can really expect much out of the small headphones you insert in the ear cavity,negative
all of the wireless components that i bought were a breeze to set up as well,positive
i just wished that it didn t fill up so fast ,negative
the extended zoom range and faster lense put it at the top of it s class,positive
i read many reviews on norton i s from a variety of sources cnet amazon message boards and came to the conclusion that nis was a terrible product and not worth the update,negative
and so far i ve been very pleased,positive
will not automatically transfer songs with identical titles if you have live albums or greatest hits albums this will cause you inordinate frustration ,negative
purchased this router a few months back no problems whatsoever,positive
if the plunging action is critical to your work look elsewhere,negative
digital zoom is clear too say you used all x optical zoom try to do digital zoom then just try not to shake the camera at all and you ll still get a clear good quality picture,positive
my first router is a safety hazard if you do not pay attention and are not very careful,negative
i love the es based controls and easy menus,positive
it seems to me that after the focus and metering are complete there is quite a lag before the shutter ,negative
finding a particular song s or album on the nomad jukebox is fast and easy,positive
do not buy this product,negative
i have to say i m also pretty impressed by the user interface for playing jpeg mp and mpeg files stored on cd rs dvds,positive
if you have an older version of internet security installed you may also need to remove it as well before proceeding with systemworks install,negative
my sd focuses flawlessly does not whine during video and my pictures are razor sharp,positive
within one month my player completely died,negative
no offense to amazon but i was able to find one online for just over bucks i m sure prices here will continue to sink and that also seemed quite a good bargain for the amount of storage space,positive
update january th the second one crapped out only after a week dont buy this product ,negative
the battery life is very good i got about minutes with the lcd turned on all the time the first time around and i have been using it with the lcd off every now and then and have yet needed to recharge it,positive
it took me three days to the tune of neil young s song piece of cr to get this to work with the satellite hookup i was hired to connect this wireless network up to,negative
fm radio built in howard stern ,positive
the controls are somewhat harder to use than the ipod but i have gotten use to them and even at the beginning did not think would justify the huge difference in price,negative
i did a ton of research and settled on this phone because of the small size speakerphone option great priced calling plan and access to my corporate email,positive
we also had a problem with diaper wipes getting caught when the top was flipped,negative
good image quality,positive
one downside as of this writing t mobile has n t updated their t zone system to fully support the ,negative
for looks well ipod is head and shoulders better both the iriver and creative zen look positively ugly when next to a gleaming ipod,positive
a little weighty ounces no biggie but otherwise fine,negative
additionally it has more fun stuff like more tones wallpapers screen saver stop clock alarm java applications chess currency converter etc ,positive
i just bought one and returned it as defective for good reason,negative
their website had a download that helped remove those although i had to manually remove a good number of files from the programs directory,positive
the backlight on the phone goes off way too quickly dangerous when you re driving at night and there s no way to change this,negative
it plays original dvds and cds and plays mp s and jpegs,positive
flash as with all built in flashes in small cameras you get over illuminated main subjects with depth being lost,negative
try before you buy if at all possible although i am a mac addict now for over a decade and everyone i know has previously bought an ipod the nomad zen xtra was a far better value and is just as easy to use with regards to both hardware and software interface,positive
worst feature possible this alone makes it rate one star what s up with no recharge cord ,negative
the sound quality is excellent and i m fussy with that stuff the unit looks cool screen is bright and easy to read and the replaceable battery means a major advantage over the ipod besides the price but everyone knows that ,positive
it also has unproven battery life,negative
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category,positive
it had locked up multiple times previously but always managed to work after wards this time the touch screen wouldn t respond to me and none of the buttons worked,negative
it s shorter sleeker more compact and fits comfortably in my small hand than the ipod my nokia cell phone towers over this bad boy ,positive
the customer support is pathetic,negative
it has a beautiful design lots of features very easy to use very configurable and customizable and the battery duration is amazing ,positive
the panel seems like it will come off very easily as other people have said,negative
it is a great phone if you are traveling all over the world packed with wonderful features,positive
too bad the product is cumbersome and intertwined trying to do so much at one time,negative
it is a fantastic camera and well worth the price,positive
player is not plug and play need to install nomad explorer first and mediasource to transfer files and i had to be patient as i was used to winxp detecting the player and dragging and dropping the music files into it,negative
mine is as easy to use as the mini without any firmware download,positive
we found that when you put a dirty diaper into the top loader there was a tendency to get streaks which would then get on the plunger which would then have to get cleaned each time it was used,negative
flawless,positive
video recorder is of no use and one can not record something useful in seconds and it takes a while to send the same through the free picture and video messaging offered by service provider,negative
white earbuds i replaced those with some shire headphones big difference a case a stand a clip which doesn t really work and a nice little zen micro bag,positive
one still works fine the other quit after one day,negative
i am ripping my cd collection into kbps wma files this gives an average of around mb per cd good for about cds in the mb of free memory available to me,positive
navigation system the zen xtra uses id tags that are embedded in the mp files to organize your songs,negative
and for those that are int rested the recharger works anywhere in the world and is quite small ,positive
my son tried it and he too couldn t change the speed without an assist,negative
it s cheaper holds more songs and is smaller,positive
for example i tried playing my new pirates of the caribbean extra features dvd but this dvd player can not read it,negative
it is slow to initially start up but once it s turned on i ve never had any complaints about the speed,positive
i saw a few complaints on the load time of menus and i feel people are over exaggerating the menu load time,negative
compared to other leading dd mp players the value per gb is the tops,positive
for example in auto mode you can t use the flash redeye reduction you must be in manual mode for that,negative
if you are looking for a user friendly diaper pail that actually does keep the odor contained than the diaper champ is the one for you ,positive
i never know when the champ is full as there is no way too tell even though not particularly aesthetic how about making the champ clear and see through so i lift the lid and find a wad of diaper which i must remove usually stuck inside the lid itself because the bag is too full,negative
using the software itunes is relatively simple you just plug the usb cable in wait your machine to detect the ipod and voila any songs listed in your itunes library will be transfer ed on over to the ipod,positive
i no longer use it as a plunge router only as a stationary or table mounted router,negative
both the on off switch soft start and the depth lock are within easy reach of the right hand,positive
however the main problem that i think is the with the sound quality,negative
i received this item for christmas and it has met and exceeded all my standards,positive
my only gripe about the hardware is the buttons,negative
yes the features are numerous,positive
the other pail i used started to smell after weeks of use,negative
a great camera but here are some points which i don t notice in most of the reviews here which may be of concern especially to the more advanced amatuer,positive
the flaw is in the circuit board that the headphone jack is connected to,negative
it doesn t bog down under load,positive
only used for month before it s down ,negative
for the price i am considering purchasing a spare just to have as a backup,positive
t supports only midi files,negative
the box is upstairs and in the farthest room i get connected at m speed that is similar to the older m ethernet standard,positive
it had issues right off the bat with freezing up staying in shutting down mode and just not functioning very well in general,negative
i use the regular kitchen trash bags and it is so easy to empty,positive
i ve also had the nomad zen lock up several times,negative
the included eax support is useful at times especially when you listen to a variety of genres as it will adjust the equalizer for you which can be a big hassle,positive
the only thing i would complain about the zen xtra is that the controls are n t as easy as the ipod s or as sexy looking,negative
you can take pic of your friends and the picture will pop up when they call,positive
what i dont like nothing much except headphones belt clip design,negative
the blue backlit lcd looks really neat and is easy to read,positive
neither message was answered they ask for hours before replying i ve been waiting days ,negative
anything this phone does it does perfectly,positive
so i took out the battery and put it back in again only to find that it would not work,negative
it s easy to use just a flip of the lid and the diaper is gone ,positive
for purposes of clarity here is my review from that product edited to be appropriate for this product since for the most part they share many of the same problems,negative
built in microphone is great for recording short voice notes,positive
the black fly wheel feels pretty cheap is uncomfortable to use,negative
this product is a lifesaver ,positive
it sends discontinuous signals to tv so the tv has the pictures for one moment and has only the white noise for the other moment,negative
however since this router is backward compatible that doesn t pose a problem at all,positive
if you experience problems with installation you can visit symantec s website click the support tab click the home or home office support and there is an automated support assistant that can scan the norton program files on your computer and it will tell you what is not working right and how to fix it,negative
also the wma compression format is superior to mp especially at lower bit rates so i needed a player that could handle wma and integrate well with my windows xp computers,positive
i am giving a zero star to symantec for this version ,negative
battery a big big plus,positive
apple closed their island to anything that resembled microsoft and clearly let napster know it could not use their products with napster s services,negative
excellent phone the phone looks much better than what u see in the pictures,positive
unfortunately it can t play all of the dvd,negative
this is the fourth version of systemworks and the second version of internet security that i have used and it has always been a favorite,positive
i also removed the springs in the plunge tubes to make it easier to raise,negative
even at the normal setting a x print shows not a single sign of visible rendering or pixels you could never tell that the picture has been taken by a digital,positive
the delay from the time you fully depress the shutter to the time the picture is taken is too long and may yield some fuzzy shots,negative
i must have differing preferences than others here as i prefer the supplied earbuds to the sony s that i thought sounded good on other players,positive
the only downside to this is that it can get pretty stinky long before the pail is full,negative
very comfortable camera easy to use and the best digital photos you re going to get at this price,positive
i purchased this phone knowing it was slightly old as compared to the newer models of nokia phones available,negative
especially for the price amazon gives it at i was unable to get mine through amazon due to some credit complications ,positive
don t use them so i delete them for addle space,negative
i have been very impressed with my purchase of the sd i bought it at the beginning of the month as the ultimate pocket camera and have shot images so far with it,positive
if there was a zero star rating i would give it,negative
i experimented with online print ordering with the two major us brick and mortar retailers and they both delivered great results,positive
they are not wow able good,negative
easy to use a lot of reviews has mentioned about this,positive
for my first i had a diaper genie which was not only costly with the refills but it was also very stinky,negative
i still have my s because i like the wider lens sometimes but in general if you are looking for a small camera with the whole package the sd is the only one you should buy,positive
the creative zen micro is a zen micro killer not an ipod killer,negative
given that i already have the zen the only reason i am happy with it is because of the notmad software,positive
i ve attempted to connect this unit to several different tvs using a multitude of connection methods and i still can t get a video signal from the machine,negative
another point of note the battery life is incredible ,positive
and when you think about it it s insulting that norton requires its customers to jump through these hoops anyone who can provide proof of purchase whether on the phone or online what if your computer is down should have equal priority,negative
no skips and it hasn t faltered once despite your inevitable drop or two,positive
it is buggy slow and basically frustrates the heck out of the user,negative
this holds alot and does not take up alot of space,positive
and supply those stupid white headphones,negative
it sure does look nice though i recommend this to any music lover anywhere the quality of the audio is excellent the controls and indicators rapidly become intuitive and the storage capacity and battery life are huge ,positive
the ipod mini is smaller and sexier albeit limited in supported formats and the rio karma is a far better value,negative
